city,X,집계년도,재산번호,재산구분명,재산종류명,행정재산구분명,회계구분명,산구분명,시군구명,읍면동명,리명,본번,부번,입력시스템명,실지목명,공부지목명,재산수량,재산면적,대장가액.원.,기준가액.원.,재산관리기관명,분임관리기관명,위임관리기관명,취득일자,취득승인여부,취득방법명,재산명칭,등록일자,address,longitude,latitude,avg_price
Gapyeong,124602,2015,164475,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,846,0,행정,임야,forest,1,66,597960,597960,경기도 건설국 하천과,,경기도 가평군 안전재난과,2008-12-11,Y,누락재산등록,하천,2011-07-15,경기도 가평군 가평읍 개곡리 846 - 0,127.5239,37.871,9060
Gapyeong,124603,2015,164477,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,846,2,행정,임야,forest,1,3977,39571150,39571150,경기도 건설국 하천과,,경기도 가평군 안전재난과,2008-12-11,Y,누락재산등록,하천,2011-07-15,경기도 가평군 가평읍 개곡리 846 - 2,127.5239,37.8692,9950
Gapyeong,124604,2015,118771,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,876,3,행정,답,dap,1,15,282000,282000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-12-17,Y,매입,,2008-01-17,경기도 가평군 가평읍 개곡리 876 - 3,127.5288,37.8732,18800
Gapyeong,124605,2015,118772,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,876,4,행정,답,dap,1,137,2575600,2575600,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-12-17,Y,매입,,2008-01-17,경기도 가평군 가평읍 개곡리 876 - 4,127.5289,37.8731,18800
Gapyeong,124606,2015,118773,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,가평읍,개곡리,877,1,행정,답,dap,1,106,2989200,2989200,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2003-09-04,Y,매입,,2008-01-17,경기도 가평군 가평읍 개곡리 877 - 1,127.5289,37.8732,28200
Gapyeong,124607,2015,84343,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,가평읍,복장리,159,2,행정,도로,road,1,267,774300,774300,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-12-09,Y,매입,도  로,2007-07-18,경기도 가평군 가평읍 복장리 159 - 2,127.5009,37.7289,2900
Gapyeong,124610,2015,119325,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,4,1,행정,답,dap,1,94,4324000,4324000,경기도 건설국 하천과,,경기도 가평군 안전재난과,2002-01-17,Y,매입,,2008-01-17,경기도 가평군 청평면 청평리 4 - 1,127.4328,37.7427,46000
Gapyeong,124611,2015,84893,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,499,1,행정,도로,road,1,582,7129000,7129000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1999-06-15,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 499 - 1,127.4653,37.9656,12249.14089
Gapyeong,124612,2015,84896,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,513,1,행정,도로,road,1,73,839500,839500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-03-20,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 513 - 1,127.4627,37.966,11500
Gapyeong,124613,2015,84898,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,517,2,행정,도로,road,1,23,517500,517500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-04-10,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 517 - 2,127.4614,37.9672,22500
Gapyeong,124614,2015,164541,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,33,21,행정,답,dap,1,17,773500,773500,경기도 건설국 하천과,,경기도 가평군 안전재난과,2009-12-09,Y,누락재산등록,하천,2011-07-18,경기도 가평군 청평면 청평리 33 - 21,127.4326,37.7371,45500
Gapyeong,124615,2015,83721,토지,행정재산,공용재산,일반회계,산,경기도 가평군,청평면,청평리,39,0,행정,임야,forest,1,328165,3511365500,3216017000,경기도 경기도산림환경연구소,,,1963-12-03,Y,매입,임야,2007-07-18,경기도 가평군 청평면 청평리 39 - 0,127.4074,37.7403,10700
Gapyeong,124616,2015,87046,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,청평면,청평리,45,1,행정,도로,road,1,44,3781800,3781800,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2005-12-16,Y,매입,도  로,2007-07-18,경기도 가평군 청평면 청평리 45 - 1,127.4284,37.7263,85950
Gapyeong,124629,2015,119082,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,509,8,행정,전,jeon,1,314,960840,960840,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,2002-07-18,Y,매입,,2009-12-18,경기도 가평군 설악면 묵안리 509 - 8,127.5221,37.6112,3060
Gapyeong,124630,2015,84983,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,북면,도대리,231,6,행정,도로,road,1,949,1940400,1940400,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1994-02-18,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 231 - 6,127.4904,37.9359,2044.678609
Gapyeong,124631,2015,84760,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,231,7,행정,도로,road,1,192,4224000,4224000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1994-08-16,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 231 - 7,127.4906,37.9359,22000
Gapyeong,124632,2015,84984,토지,행정재산,공공용재산,일반회계,산,경기도 가평군,북면,도대리,231,7,행정,도로,road,1,45,540000,540000,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-10-23,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 231 - 7,127.4906,37.9359,12000
Gapyeong,124633,2015,84849,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,400,1,행정,도로,road,1,127,1587500,1587500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-03-30,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 400 - 1,127.4721,37.9601,12500
Gapyeong,124634,2015,84850,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,북면,도대리,409,6,행정,도로,road,1,23,862500,862500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1995-06-26,Y,매입,도  로,2007-07-18,경기도 가평군 북면 도대리 409 - 6,127.4721,37.9603,37500
Gapyeong,124635,2015,85739,토지,행정재산,공공용재산,일반회계,일반,경기도 가평군,설악면,묵안리,295,3,행정,전,jeon,1,138,862500,862500,경기도 건설국 도로정책과,,경기도 가평군 건설교통과,1997-03-20,Y,매입,도  로,2007-07-18,경기도 가평군 설악면 묵안리 295 - 3,127.5283,37.6031,6250
