"asset_ID","longitude","latitude","size_factor","valueBysize1","valueBysize2","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
113183,126.7524,37.6574,"4",90,90,2,4,1,1,0,4,0,0,0,8,2,0,8,1,95,25,5,1
113193,126.7537,37.6582,"2",90,90,2,4,1,1,0,6,0,0,0,7,2,0,9,1,95,25,5,1
113203,126.754,37.6578,"4",90,90,1,4,1,1,0,6,0,0,0,7,4,0,9,1,101,26,5,1
113209,126.7536,37.6576,"2",90,90,2,4,1,1,0,6,0,0,0,7,4,0,9,1,102,26,5,1
113210,126.7539,37.6574,"4",90,90,1,4,1,1,0,5,0,0,0,8,4,0,9,1,101,26,5,1
113211,126.7535,37.6573,"1",90,90,2,4,1,1,0,5,0,0,0,8,4,0,9,1,102,26,5,1
113212,126.7539,37.657,"4",90,90,0,4,1,1,0,4,0,0,0,8,4,0,9,1,100,25,3,1
58011,126.8313,37.5982,"1",1.5,1.5,0,1,1,1,0,2,2,0,1,2,1,0,3,0,56,9,0,0
58012,126.8317,37.5976,"4",1.5,1.5,0,0,1,1,0,2,2,0,0,2,1,0,3,0,49,8,0,0
59083,126.8308,37.5982,"4",1.81,1.81,0,1,1,1,0,3,3,0,1,2,1,0,3,0,62,9,0,0
113108,126.7484,37.6573,"1",50.1923079545455,50.1923079545455,2,6,1,1,1,2,0,0,0,3,0,0,8,1,91,25,5,1
113110,126.7476,37.6573,"3",32.895,90,2,5,1,1,1,2,0,0,0,5,0,0,4,2,49,13,3,1
171727,126.7915,37.6267,"1",46.1965909090909,89.4102272727273,0,1,0,0,0,0,2,0,0,0,1,0,1,0,13,1,0,0
171647,126.7917,37.6268,"1",36.1184210526316,36.1184210526316,0,1,0,0,0,0,2,0,0,0,1,0,1,0,13,1,0,0
56276,126.8774,37.5954,"1",19.0318333333333,19.0318333333333,2,4,7,1,0,1,3,0,1,0,10,2,2,1,57,4,0,3
56282,126.8776,37.5959,"1",3.2,3.2,2,4,6,1,0,1,3,0,2,0,10,2,2,1,57,5,0,3
56283,126.8774,37.596,"1",3.14,3.14,2,4,7,1,0,1,3,0,2,0,10,2,2,1,58,5,0,3
56277,126.8772,37.5956,"1",2.31,2.31,2,5,7,1,0,1,3,0,2,0,10,2,2,1,59,5,0,3
56278,126.8769,37.5958,"1",15,15,2,5,7,1,0,1,3,0,2,0,11,2,2,1,60,5,0,3
56279,126.877,37.5957,"1",13.83,13.83,2,5,7,1,0,1,3,0,2,0,10,2,2,1,60,5,0,3
97274,126.8771,37.5964,"1",106,106,2,5,7,1,0,1,4,0,2,0,11,2,2,1,58,5,0,3
97273,126.8771,37.5965,"3",114,114,2,5,6,1,0,1,4,0,2,0,11,2,2,1,58,5,0,3
97275,126.8771,37.5963,"1",102,102,2,5,7,1,0,1,4,0,2,0,11,2,2,1,58,5,0,3
56281,126.8777,37.5956,"1",5.5,5.5,2,4,7,1,0,1,3,0,1,0,10,2,2,1,55,4,0,3
183219,126.8772,37.5966,"1",114,114,1,5,6,1,0,1,4,0,2,0,11,2,2,1,57,5,0,3
169280,126.8742,37.5918,"1",39.9,39.9,1,6,10,2,7,1,3,0,3,0,25,4,1,0,57,5,6,2
169281,126.8739,37.5919,"3",3.82859941690962,3.82859941690962,1,6,9,2,7,1,3,0,3,0,25,4,1,0,56,5,6,2
56275,126.8779,37.5956,"1",4.03,4.03,2,4,6,1,0,1,3,0,1,0,10,2,2,1,52,4,0,3
170147,126.7741,37.6323,"1",22,22,0,2,0,0,0,0,1,0,0,0,5,0,0,0,26,1,1,0
56987,126.9199,37.6658,"1",8,8,0,0,1,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0
56988,126.9199,37.6656,"4",8,8,0,0,2,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0
113084,126.7463,37.6589,"1",90,90,2,7,1,0,1,4,0,0,0,9,0,0,8,2,100,27,5,1
113085,126.7462,37.6583,"1",89.9956922132406,381.254476619257,2,4,1,0,1,3,0,0,0,7,0,0,4,2,49,15,3,1
113087,126.7475,37.6587,"1",90,90,2,7,1,1,1,4,0,0,0,10,0,0,8,2,102,28,5,1
113088,126.7474,37.6582,"3",90,90,2,7,1,1,1,3,0,0,0,10,0,0,8,2,98,27,5,1
113097,126.7478,37.6575,"4",90,90,2,7,1,1,1,3,0,0,0,7,0,0,8,2,97,27,5,1
113098,126.7482,37.6572,"1",32.3529415929204,90,2,6,1,1,1,2,0,0,0,3,0,0,8,1,87,25,5,1
172685,126.8742,37.5918,"1",14.8,14.8,1,6,10,2,7,1,3,0,3,0,25,4,1,0,57,5,6,2
55815,126.7938,37.6311,"1",1.51,1.51,0,5,0,0,2,2,2,0,2,0,19,0,0,0,56,12,1,0
56112,126.7937,37.6311,"1",16.15,16.15,0,5,0,0,2,2,3,0,2,0,19,0,0,0,59,14,1,0
168938,126.7937,37.6313,"1",15.4,15.4,0,5,0,0,2,2,4,0,2,0,22,0,0,0,77,14,2,0
174540,126.794,37.6298,"1",32.918,32.918,0,2,0,0,0,0,2,0,0,0,1,0,0,0,15,1,0,0
