"asset_ID","Land_size","Land_value","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9"
1014,162,13203000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
1015,152,12388000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0
1016,134,10921000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
1017,124,10106000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0
1018,84,6846000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
166170,53,4319500,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
166172,624,50856000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0
166174,17,1385500,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
166176,171,13936500,8.15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
166177,1230,100245000,8.15,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0
924,198,23562000,11.9,0,4,8,0,9,0,0,0,0,0,10,0,2,0,52,2,2,2
922,1963,296413000,15.1,0,4,8,0,7,0,0,0,0,0,10,0,1,0,55,4,2,1
1041,937,29234400,3.12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
909,111,6915300,6.23,1,4,18,2,30,0,1,0,2,0,13,1,0,0,99,10,8,3
175374,1,62300,6.23,1,4,18,1,30,0,1,0,2,0,13,1,0,0,98,9,8,3
919,1148,109060000,9.5,0,4,8,0,7,0,0,0,0,0,10,0,1,0,51,5,2,1
920,259,24605000,9.5,0,3,8,0,7,0,0,0,0,0,10,0,1,0,47,4,2,1
921,286,27170000,9.5,0,4,8,0,7,0,0,0,0,0,10,0,1,0,49,4,2,1
147238,164.64,1.6e+08,97.1817298347911,2,20,29,1,56,5,4,0,5,1,84,3,0,18,418,21,32,16
189350,100.54,2.25e+08,223.791525760891,0,10,24,1,41,6,0,0,1,0,45,2,1,1,234,14,14,6
176640,56.71,9.5e+07,167.5189560924,1,13,31,1,52,1,1,0,4,0,61,3,0,19,383,19,24,13
183910,43.03,9e+07,209.156402509877,1,13,31,1,52,1,1,0,4,0,61,3,0,19,383,19,24,13
190531,59.84,1.6e+08,267.379679144385,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
190532,0,1.6e+08,Inf,1,13,23,4,47,5,2,0,9,5,38,9,0,1,247,33,40,17
184689,299.89,1.5e+08,50.0183400580213,1,15,8,3,9,4,3,0,9,1,32,0,0,27,152,15,7,7
185323,553.07,1.12e+08,20.2506011897228,0,1,2,1,0,7,1,0,1,0,0,4,0,0,10,3,0,0
177691,17.16,4.8e+07,279.72027972028,0,10,12,0,14,4,0,0,4,0,22,0,3,0,229,16,5,2
177692,17.1,4.8e+07,280.701754385965,0,10,12,0,14,4,0,0,4,0,22,0,3,0,229,16,5,2
160441,84.83,1.85e+08,218.083225274078,0,8,12,1,13,4,0,0,3,0,21,0,2,0,204,14,5,1
183909,32.62,8.3e+07,254.445125689761,1,30,13,1,31,17,4,1,13,0,74,4,0,71,418,37,16,12
188242,59.95,1.8e+08,300.250208507089,1,10,38,7,50,1,1,1,6,0,34,1,0,0,161,13,16,7
169073,230.4,5.5e+07,23.8715277777778,1,10,15,3,11,15,0,0,4,2,37,26,0,9,103,11,8,5
179613,19,5e+07,263.157894736842,0,12,15,4,10,19,0,0,5,1,50,25,0,19,148,17,8,5
160227,66.27,1.4e+08,211.2569790252,0,8,20,6,25,2,2,0,2,2,38,1,1,3,119,11,5,2
162218,71.45,1.3e+08,181.945416375087,0,8,20,6,25,2,2,0,2,2,38,1,1,3,119,11,5,2
190528,84.94,2.1e+08,247.233341182011,1,12,28,4,32,5,1,0,4,2,54,0,1,4,245,21,33,14
176641,59.98,1.85e+08,308.436145381794,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
179206,39.99,1.45e+08,362.590647661915,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
188240,59.98,1.9e+08,316.77225741914,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
188241,59.57,1.85e+08,310.55900621118,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
188245,59.57,1.9e+08,318.952492865536,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
188768,59.98,1.95e+08,325.108369456485,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
188776,59.98,2e+08,333.444481493831,0,8,19,4,36,10,2,1,2,1,23,2,1,0,101,15,9,4
