"data_category","SW8","PNILP","PAREA","JIMOK","SPFC1","LAND_USE","GEO_HL","GEO_FORM","ROAD_SIDE"
"public",0,0.93478937732517,-0.22065619094285,"8","16","240","2","4","2"
"public",0,0.491453613846003,-0.205568298125804,"8","14","160","2","3","1"
"public",1,1.74414314713274,-0.204285811002341,"8","23","240","2","2","2"
"public",0,2.14137199121007,-0.205087771304861,"8","23","240","2","2","2"
"public",1,1.087296879962,-0.2204321615466,"8","22","330","2","3","6"
"public",0,-0.778969349979901,-0.208162493598328,"8","13","330","2","4","6"
"public",0,-0.422882064753433,-0.218552262699802,"8","14","160","2","4","5"
"public",0,0.529048486589036,-0.207789111271244,"8","22","240","2","1","2"
"public",2,0.814202049658837,-0.218324986500707,"8","14","330","2","2","5"
"public",2,-0.118576396701332,-0.196831151672033,"25","14","160","2","7","2"
"public",0,-0.753007607670561,-0.19955846606117,"8","22","210","2","1","4"
"public",0,-1.14215000742204,-0.195467494477465,"8","64","160","2","7","8"
"public",0,-1.05603646872384,-0.189038824845928,"8","64","220","2","7","6"
"public",0,-0.991912383894215,-0.212643081523339,"8","13","160","2","7","8"
"public",0,-1.01695198781552,-0.203552033559549,"8","64","210","2","7","6"
"public",0,-0.659800696756701,-0.192123287547928,"8","43","210","2","7","6"
"public",0,-0.517152981499644,-0.204428670327486,"8","23","220","2","7","6"
"public",0,-0.773223718485211,-0.205435179209191,"8","14","220","2","4","7"
"public",0,-1.01425650637356,-0.201376675653928,"8","13","220","3","4","6"
"public",0,-0.934952605002411,-0.198454553094139,"8","43","220","2","4","4"
"public",0,-1.0449708080674,-0.205175434981654,"8","64","220","2","7","7"
"public",0,-0.904096435864261,-0.205500115266075,"8","13","220","2","7","6"
"public",0,-0.53190719570823,-0.197642852383086,"8","14","330","2","5","7"
"public",0,-0.737614989962564,-0.194168773339781,"8","14","240","2","4","7"
"public",0,-0.973398682411325,-0.190694694296475,"8","13","160","2","4","8"
"public",0,-0.832311509041714,-0.217221073533675,"8","15","330","2","4","6"
"public",1,0.591470162086903,-0.220143196093465,"8","22","220","2","4","4"
"public",1,-1.02021493903472,-0.213617122376602,"8","43","160","2","4","4"
"public",0,-1.17818433827762,-0.219850983837486,"8","13","910","0","7","0"
"public",0,-1.13789398409264,-0.186116702286139,"8","14","160","2","4","6"
"public",0,-1.14087320042322,-0.203844245815528,"8","14","160","2","7","6"
"public",0,-1.02979099152587,-0.210175511361739,"8","14","160","2","7","8"
"public",0,-1.1449873563083,-0.219591239609949,"8","64","210","2","7","6"
"public",0,-0.822167986773311,-0.212415805324244,"8","13","220","2","4","4"
"public",1,-0.324993528177233,-0.201376675653928,"8","22","220","2","7","6"
"public",0,-1.1088111580084,-0.209331342622244,"8","64","220","2","4","6"
"public",0,-0.695693160167974,-0.212545677438012,"8","22","220","2","4","5"
"public",0,-0.192347467744266,-0.203746841730202,"8","13","160","2","2","1"
"public",0,-0.556946799629534,-0.212220997153591,"8","16","220","2","7","6"
"public",0,-0.53360960503999,-0.184990061699198,"8","33","220","2","2","2"
