"Asset_ID","Land_size","Land_value","longitude","latitude","Land_Value_bySize","MT1","CS2","PS3","SC4","AC5","PK6","OL7","SW8","BK9","CT1","AG2","PO3","AT4","AD5","FD6","CE7","HP8","PM9","cluster"
870,1120,57120000,126.9525,37.2904,5.1,23,258,586,92,881,162,72,4,121,32,865,49,120,116,4565,499,388,181,3
871,1888,96288000,126.9522,37.2908,5.1,23,252,581,91,874,158,72,4,117,32,852,49,119,103,4461,475,383,177,3
302,6070,3987990000,127.0452,37.2381,65.7,46,611,1105,131,1884,357,90,9,335,57,1920,76,78,333,10915,1358,958,361,2
307,2988,830664000,127.0439,37.2399,27.8,46,629,1108,133,1871,376,91,11,350,57,1948,97,82,380,11325,1441,992,371,2
308,2982,828996000,127.044,37.2396,27.8,45,623,1107,133,1885,374,90,11,347,55,1936,80,79,379,11286,1437,988,372,2
303,2969,825382000,127.044,37.2393,27.8,45,620,1107,132,1882,376,88,11,345,55,1941,80,79,379,11264,1431,989,373,2
304,2962,823436000,127.044,37.2391,27.8,45,621,1106,132,1868,370,88,11,344,55,1937,80,79,373,11251,1424,981,372,2
305,1511,420058000,127.0441,37.2389,27.8,45,619,1105,132,1876,370,89,11,343,55,1937,78,78,363,11221,1420,979,373,2
306,3994,1066398000,127.0441,37.2386,26.7,45,619,1105,132,1887,366,89,11,342,55,1931,77,77,357,11195,1407,973,370,2
309,4598,1278244000,127.0427,37.2398,27.8,46,627,1110,134,1856,382,91,11,352,58,1949,100,82,392,11308,1440,995,375,2
310,3154,876812000,127.0427,37.2395,27.8,46,626,1108,134,1857,378,90,11,350,58,1948,99,82,387,11310,1443,992,373,2
311,3154,876812000,127.0428,37.2392,27.8,46,626,1106,133,1871,375,90,11,349,57,1944,97,80,385,11294,1442,993,374,2
312,3164,879592000,127.0428,37.239,27.8,46,625,1107,133,1876,375,89,11,349,57,1937,87,77,381,11287,1441,992,372,2
313,3150,875700000,127.0429,37.2387,27.8,46,622,1107,132,1882,372,90,11,350,56,1938,80,77,382,11260,1434,986,373,2
248,2869,880783000,127.0418,37.2398,30.7,46,630,1113,134,1845,383,91,11,351,58,1948,102,81,405,11291,1433,992,376,2
249,1993,554054000,127.0417,37.2394,27.8,46,628,1110,133,1859,381,90,11,353,58,1944,101,80,392,11288,1437,988,374,2
250,2360,656080000,127.0417,37.2391,27.8,46,627,1106,133,1857,380,90,11,352,58,1942,99,79,390,11299,1442,985,372,2
251,2717,755326000,127.0417,37.2389,27.8,46,625,1106,133,1854,376,90,11,351,57,1943,99,80,388,11300,1442,983,372,2
252,3128,828920000,127.0416,37.2386,26.5,46,624,1106,133,1865,375,89,11,351,57,1941,97,78,387,11290,1441,985,372,2
247,3441,880896000,127.0416,37.2383,25.6,45,625,1108,132,1865,373,89,11,348,57,1937,87,77,387,11273,1436,977,368,2
253,13061,2781993000,127.044,37.2377,21.3,46,617,1105,130,1879,357,89,10,337,57,1917,77,77,346,11049,1380,950,360,2
254,118,26432000,127.0441,37.2383,22.4,45,617,1107,131,1888,360,88,11,341,57,1932,77,77,353,11163,1407,968,366,2
886,59,3009000,126.9519,37.2898,5.1,23,252,586,91,874,158,71,4,122,31,853,46,120,109,4518,494,388,180,3
887,173,8823000,126.9518,37.2897,5.1,23,252,585,91,872,159,71,4,118,30,852,46,120,106,4489,482,391,180,3
888,299,15249000,126.9517,37.2896,5.1,23,252,585,91,870,159,74,4,118,28,852,46,120,103,4480,481,391,180,3
889,989,50439000,126.9515,37.2894,5.1,23,252,584,92,870,159,73,4,117,28,851,46,120,98,4458,481,391,180,3
890,1643,83793000,126.9512,37.2893,5.1,23,248,581,91,864,157,72,4,117,28,843,46,121,95,4406,470,388,179,3
891,324,16524000,126.9513,37.2886,5.1,23,253,586,90,872,162,74,6,124,28,857,46,122,107,4551,499,393,183,3
190685,494,350740000,127.0467,37.2386,71,47,607,1115,132,1874,354,89,9,332,54,1921,77,77,324,10722,1320,938,356,2
300,2397,939624000,127.0449,37.2393,39.2,45,618,1107,133,1876,370,91,11,341,54,1939,78,79,358,11200,1406,973,370,2
1004,138,13110000,126.9468,37.263,9.5,15,179,398,52,520,114,63,7,94,13,528,30,107,76,3287,374,268,120,4
525,68,6181200,126.951,37.2781,9.09,21,247,551,85,898,171,71,8,129,25,817,46,118,155,4766,527,408,181,3
166164,38,3454200,126.9511,37.2781,9.09,21,247,554,85,902,171,71,8,130,25,820,46,118,156,4776,526,409,181,3
530,152,5033358,126.9509,37.278,3.31141973684211,21,247,550,85,891,169,69,8,129,25,814,46,118,155,4741,525,407,181,3
182754,9,298027,126.9508,37.2779,3.31141111111111,21,246,548,85,883,168,68,8,128,25,810,46,119,153,4718,521,405,180,3
182755,128,4238615,126.9511,37.278,3.31141796875,21,247,553,85,899,171,71,8,129,25,820,46,118,157,4770,525,408,181,3
97816,245,2102100,126.9512,37.2782,0.858,21,249,557,86,906,171,71,8,130,25,832,46,118,159,4803,533,412,182,3
187333,15,2374605,126.9488,37.2667,15.8307,17,192,455,64,589,132,62,7,102,20,608,29,107,115,3600,428,272,126,4
187329,1,31599,126.9489,37.2667,3.1599,17,194,455,64,592,132,62,7,103,20,609,29,107,116,3607,430,280,130,4
1031,464,14476800,126.9485,37.2592,3.12,14,180,415,56,498,116,63,7,91,14,534,29,100,96,3370,364,261,125,4
1032,318,9912600,126.9483,37.2607,3.11716981132076,16,182,419,57,520,115,63,7,94,13,548,31,100,100,3430,380,269,128,4
1034,7305,227916000,126.9486,37.26,3.12,15,184,419,56,513,115,64,7,95,14,546,31,98,103,3416,372,262,127,4
1035,793,64629500,126.9487,37.2612,8.15,16,186,430,57,554,118,62,7,99,13,557,31,97,106,3519,399,281,130,4
1036,2490,202935000,126.9487,37.261,8.15,16,185,429,57,549,117,62,7,98,13,555,31,97,106,3506,394,281,130,4
1037,823,25677600,126.9495,37.2612,3.12,16,190,444,57,580,121,63,7,104,14,578,31,96,114,3627,422,286,131,4
1005,20,2080000,126.9466,37.2623,10.4,14,172,392,53,500,114,62,7,91,13,514,30,105,70,3167,356,259,117,4
1006,329.21,35880000,126.9468,37.2622,10.8988183834027,14,176,394,53,506,114,62,7,91,13,520,30,105,73,3217,367,267,119,4
1007,145.05,15808019,126.9469,37.2623,10.8983240261979,14,175,395,53,512,114,62,7,93,13,524,30,103,76,3262,371,270,122,4
186104,7.63,831981,126.9471,37.2623,10.9040760157274,15,177,400,53,523,115,62,7,94,13,530,30,102,81,3308,373,270,124,4
1033,445,13884000,126.9482,37.2601,3.12,14,180,414,56,505,114,62,7,93,14,539,30,100,93,3370,367,261,124,4
176416,1117,34850400,126.9483,37.2601,3.12,14,181,414,56,506,114,63,7,93,14,540,30,100,96,3387,370,262,126,4
1008,1247,117467400,126.9475,37.262,9.42,15,180,411,54,525,114,62,7,94,13,538,30,102,87,3361,382,274,125,4
1009,364,34288800,126.9481,37.2618,9.42,16,185,419,55,535,116,63,7,97,13,553,31,101,102,3433,392,276,126,4
1010,566,46159000,126.948,37.2614,8.15530035335689,16,183,421,56,528,115,63,7,94,13,545,30,99,97,3401,385,275,127,4
1011,51,4156500,126.948,37.261,8.15,16,181,418,56,506,114,63,7,93,13,543,30,100,94,3383,370,262,126,4
1012,181,14751500,126.948,37.2612,8.15,16,181,418,57,512,113,63,7,94,13,542,30,99,95,3392,380,269,125,4
1013,197,16055500,126.948,37.2609,8.15,16,181,416,56,506,114,63,7,92,13,541,30,100,93,3376,370,263,127,4
166168,37,317460,126.9512,37.2781,0.858,21,251,556,86,906,171,71,8,130,25,832,46,119,159,4797,529,411,181,3
166373,96,14496000,126.9508,37.2804,15.1,22,257,573,91,896,173,76,7,127,26,845,47,124,150,4914,543,408,182,3
